Timestamp, RX_Bytes, TX_Bytes
1742096809, 66, 220
1742096810, 194929, 76387
1742096811, 75859492, 206252986
1742096812, 189302323, 488422314
1742096813, 231742436, 597625558
1742096814, 231834017, 597665016
1742096815, 310022781, 788986460
1742096816, 403924534, 1054182391
1742096817, 450632724, 1166105534
1742096818, 450734846, 1166138210
1742096819, 450798773, 1166231542
1742096820, 450984856, 1166251006
1742096821, 451022619, 1166304361
1742096822, 451125899, 1166424101
1742096823, 451181098, 1166535310
1742096824, 451257764, 1166561932
1742096825, 451360012, 1166673662
1742096826, 451465449, 1166732451
