Timestamp, RX_Bytes, TX_Bytes
1734749247, 1032, 0
1734749248, 18884, 16574
1734749249, 57322, 167327
1734749250, 89370, 202653
1734749251, 323076, 173394163
1734749252, 177509598, 503780162
1734749253, 521293981, 968169359
1734749254, 793085406, 1559187498
1734749255, 1046011347, 1864292853
1734749256, 1145885462, 2465410789
1734749257, 1146257482, 2728984454
1734749258, 1227807370, 2896359352
1734749259, 1535000298, 3362526230
1734749260, 1842552961, 4003594887
1734749261, 2032898806, 4429384672
1734749262, 2204167360, 4905480513
1734749263, 2468347354, 5458658672
1734749264, 2556537470, 5728261937
1734749265, 2556837537, 5923464107
1734749266, 2998359244, 6538486214
1734749267, 3174516197, 7135759725
1734749268, 3420745055, 7450040923
1734749269, 3694412156, 7896996608
1734749270, 3790966326, 8263775590
1734749271, 3813217061, 8568351962
1734749272, 3967171313, 8907576791
1734749273, 4055498971, 9227660678
1734749274, 4143604587, 9431733464
1734749275, 4148759129, 9666252348
1734749276, 4584318592, 10244201455
1734749277, 4672380955, 10533196714
1734749278, 4760334814, 10818662688
1734749279, 4760364298, 10818686374
1734749280, 4760382312, 10818702948
1734749281, 4760459418, 10818778856
1734749282, 4760477498, 10818795430
