Timestamp, RX_Bytes, TX_Bytes
1734750661, 0, 0
1734750662, 12636, 11692
1734750663, 26826, 33904
1734750664, 176737975, 285952447
1734750665, 443918098, 491098514
1734750666, 701793568, 814428392
1734750667, 931484135, 1319496388
1734750668, 1208624456, 1604961937
1734750669, 1412216612, 1999952549
1734750670, 1427332196, 2176476171
1734750671, 1944673076, 2922917280
1734750672, 1944778958, 2967311289
1734750673, 2196595949, 3261083663
1734750674, 2296530095, 3560448263
1734750675, 2473382356, 3845967113
1734750676, 3059911158, 4384351629
1734750677, 3359574248, 5075559217
1734750678, 3625642770, 5493273693
1734750679, 3625812346, 5603880363
1734750680, 3967494496, 6053217093
1734750681, 4053117052, 6262635879
1734750682, 4157106958, 6570151812
1734750683, 4422535340, 6904333619
1734750684, 4422740790, 7097587446
1734750685, 4845283732, 7423583382
1734750686, 5216497886, 8018524693
1734750687, 5304902741, 8361777004
1734750688, 5305001992, 8437462896
1734750689, 5305012226, 8437490766
1734750690, 5305019298, 8437496920
1734750691, 5305040414, 8437517616
1734750692, 5305073698, 8437551138
