Timestamp, RX_Bytes, TX_Bytes
1736259087, 0, 0
1736259088, 15302, 14680
1736259089, 25550794, 77239020
1736259090, 49333736, 152084053
1736259091, 69743580, 239018831
1736259092, 101959139, 323314453
1736259093, 129057542, 404138178
1736259094, 146157106, 477591544
1736259095, 156182887, 545996075
1736259096, 185978230, 638207614
1736259097, 199341524, 699762213
1736259098, 199353746, 699772749
1736259099, 199359066, 699778235
1736259100, 199389252, 699826105
1736259101, 199398760, 699834852
1736259102, 199413880, 699890010
