Timestamp, RX_Bytes, TX_Bytes
1736676922, 0, 0
1736676923, 20774, 73376
1736676924, 90790, 115038
1736676925, 125181195, 218551622
1736676926, 250585724, 445090334
1736676927, 373656713, 645184769
1736676928, 511897960, 879994751
1736676929, 631304777, 1097404294
1736676930, 740183400, 1320932539
1736676931, 869019751, 1520284966
1736676932, 951539960, 1690661071
1736676933, 951561764, 1690736699
1736676934, 951610000, 1690756735
1736676935, 951631318, 1690832131
1736676936, 951672013, 1690846133
