Timestamp, RX_Bytes, TX_Bytes
1736678079, 0, 0
1736678080, 31756, 49432
1736678081, 49674966, 92940303
1736678082, 147130599, 319028437
1736678083, 253931648, 526662521
1736678084, 331079460, 714813200
1736678085, 410000969, 897911961
1736678086, 510430694, 1098751448
1736678087, 618446273, 1327539464
1736678088, 714263885, 1532537178
1736678089, 793565099, 1689949745
1736678090, 793603323, 1690005363
1736678091, 793620827, 1690022173
1736678092, 793630049, 1690070033
1736678093, 793660163, 1690100253
1736678094, 793663429, 1690104387
