Timestamp, RX_Bytes, TX_Bytes
1740376309, 0, 0
1740376310, 48512228, 45944230
1740376311, 902391440, 855116702
1740376312, 2129226182, 2098353853
1740376313, 2525749313, 2519948221
1740376314, 2703614614, 2695254986
1740376315, 2762594430, 2762356704
1740376316, 2762616873, 2762373895
1740376317, 3053511557, 3023561775
1740376318, 4155797252, 4119902363
1740376319, 4927813199, 4910228926
1740376320, 4960755014, 4960077985
1740376321, 5066280739, 5054457484
1740376322, 5237683269, 5230254198
1740376323, 5417867342, 5403622947
1740376324, 5510437980, 5509583315
1740376325, 5510473510, 5509592115
1740376326, 5510480112, 5509597359
1740376327, 5510512603, 5509608316
1740376328, 5510522054, 5509617571
1740376329, 5510551968, 5509625763
1740376330, 5510558570, 5509631007
1740376331, 5510588834, 5509654835
1740376332, 5510601105, 5509667758
1740376333, 5510633400, 5509677211
1740376334, 5510692942, 5509690890
1740376335, 5510723148, 5509696806
1740376336, 5510730020, 5509702144
