Timestamp, RX_Bytes, TX_Bytes
1740386160, 0, 0
1740386161, 17689377, 2800798
1740386162, 746900382, 709915220
1740386163, 2067352953, 2014106450
1740386164, 2528981130, 2510203328
1740386165, 2704660989, 2690468421
1740386166, 2762083147, 2762497526
1740386167, 2762102554, 2762515171
1740386168, 2989172458, 2968863263
1740386169, 4115316552, 4076708864
1740386170, 4959654117, 4947111096
1740386171, 4994901623, 4988455045
1740386172, 5170727060, 5155908721
1740386173, 5342107216, 5325890401
1740386174, 5509311652, 5498304256
1740386175, 5509369358, 5509434984
1740386176, 5509434314, 5509454103
1740386177, 5509463956, 5509461247
1740386178, 5509470426, 5509466491
1740386180, 5509499938, 5509474515
1740386181, 5509510122, 5509481199
1740386182, 5509545958, 5509513657
1740386183, 5509552688, 5509520601
