Timestamp, RX_Bytes, TX_Bytes
1734783588, 0, 0
1734783589, 0, 0
1734783590, 45430, 63088
1734783591, 78055867, 110159020
1734783592, 442886835, 695870279
1734783593, 762116876, 1105690239
1734783594, 972671458, 1605881937
1734783595, 1149145957, 2134895832
1734783596, 1414459702, 2557446174
1734783597, 1680056159, 3149022755
1734783598, 1768459460, 3433784378
1734783599, 2034904501, 3858906438
1734783600, 2390042721, 4428741332
1734783601, 2479319548, 4709133316
1734783602, 2655258943, 4994957580
1734783603, 2897463841, 5442153835
1734783604, 3338592426, 6182013762
1734783605, 3449903445, 6474577053
1734783606, 3979681753, 7172480217
1734783607, 4158172226, 7589390595
1734783608, 4512744968, 8116697157
1734783609, 4777154378, 8687816676
1734783610, 4777213985, 8709795944
1734783611, 4777232817, 8709814512
1734783612, 4777233445, 8709815180
1734783613, 4777238285, 8709826984
1734783614, 4777243505, 8709830998
