Timestamp, RX_Bytes, TX_Bytes
1734816656, 0, 0
1734816657, 13992, 13926
1734816658, 73598, 81482
1734816659, 24078545, 22065847
1734816660, 150816046, 106655953
1734816661, 277264750, 220187527
1734816662, 403043660, 297403789
1734816663, 442517275, 416921017
1734816664, 450201454, 536309064
1734816665, 530914221, 655910350
1734816666, 531070444, 775350609
1734816667, 592210090, 894879103
1734816668, 707669621, 1014264477
1734816669, 707798246, 1133810193
1734816670, 707938686, 1253232136
1734816671, 734860417, 1372722565
1734816672, 859339885, 1487626169
1734816673, 884285371, 1607106587
1734816674, 933657749, 1726665485
1734816675, 1060324357, 1801586017
1734816676, 1149196568, 1912224815
1734816677, 1149328738, 2031713265
1734816678, 1149486255, 2151291025
1734816679, 1149623542, 2270795008
1734816680, 1167896938, 2390228553
1734816681, 1294399862, 2438683600
1734816682, 1414468497, 2558497530
1734816683, 1414604700, 2677829946
1734816684, 1495208814, 2797338279
1734816685, 1621359774, 2917125875
1734816686, 1679006304, 3036613942
1734816687, 1708189747, 3156072443
1734816688, 1767616769, 3275549641
1734816689, 1767736441, 3394975289
1734816690, 1767868100, 3514410230
1734816691, 1832760513, 3633865403
1734816692, 1958978833, 3707894766
1734816693, 2054256316, 3827084391
1734816694, 2120270434, 3946588095
1734816695, 2134027616, 4066005974
1734816696, 2208519780, 4185540078
1734816697, 2208679725, 4305038778
1734816698, 2218522517, 4424454462
1734816699, 2344736598, 4536931623
1734816700, 2385359339, 4656392131
1734816701, 2425004407, 4775849198
1734816702, 2508458992, 4895360111
1734816703, 2635225847, 5015121579
1734816704, 2738256979, 5134747357
1734816705, 2738416417, 5254182066
1734816706, 2738556372, 5373710710
1734816707, 2740896667, 5493099206
1734816708, 2867613709, 5582111573
1734816709, 2993800118, 5701202009
1734816710, 3119850272, 5781294442
1734816711, 3179576891, 5900857066
1734816712, 3230183918, 6020338110
1734816713, 3355873167, 6140021772
1734816714, 3356002960, 6259335231
1734816715, 3429255245, 6379049314
1734816716, 3444274236, 6498434392
1734816717, 3444411099, 6617888211
1734816718, 3444550938, 6737387944
1734816719, 3444706227, 6856872797
1734816720, 3444877263, 6976245822
1734816721, 3559949112, 7006042124
1734816722, 3686054255, 7037190416
1734816723, 3797153356, 7156908180
1734816724, 3797327766, 7276284513
1734816725, 3797461374, 7395663689
1734816726, 3797595780, 7515115981
1734816727, 3885896050, 7634711741
1734816728, 4006120899, 7754446442
1734816729, 4062379570, 7873967812
1734816730, 4150267855, 7993563513
1734816731, 4238543189, 8113313648
1734816732, 4241649019, 8232609317
1734816733, 4368046590, 8352402164
1734816734, 4494063690, 8457727218
1734816735, 4620368358, 8577508281
1734816736, 4679624575, 8696983467
1734816737, 4691836161, 8816445129
1734816738, 4817773251, 8936168955
1734816739, 4856064922, 9055664055
1734816740, 4907495714, 9175183689
1734816741, 4944423038, 9294753648
1734816742, 4944597274, 9414194709
1734816743, 5010562054, 9533734642
1734816744, 5032623231, 9652616438
1734816745, 5120846520, 9772291226
1734816746, 5121014121, 9891753059
1734816747, 5142350247, 10011260733
1734816748, 5209223424, 10130860061
1734816749, 5297375461, 10223577343
1734816750, 5297511247, 10343044256
1734816751, 5297584270, 10410255035
1734816752, 5297622532, 10410293235
1734816753, 5297652780, 10410332203
1734816754, 5297652780, 10410332203
1734816755, 5297670074, 10410349607
