Timestamp, RX_Bytes, TX_Bytes
1736318204, 214, 374
1736318205, 24166, 23837
1736318206, 40298935, 100963656
1736318207, 89912472, 215939336
1736318208, 129703711, 331846714
1736318209, 182608841, 456571587
1736318210, 224900141, 559214968
1736318211, 271832295, 666799078
1736318212, 278481253, 686627353
1736318213, 278488669, 686634387
1736318214, 278508425, 686653454
1736318215, 278531555, 686676367
1736318216, 278565413, 686710190
1736318217, 278598393, 686779005
1736318218, 278637297, 686816781
1736318219, 278683601, 686863598
