Timestamp, RX_Bytes, TX_Bytes
1735066333, 0, 0
1735066334, 16624, 45715
1735066335, 25908, 54999
1735066336, 128558, 87944129
1735066337, 88548413, 484063155
1735066338, 431079589, 968709645
1735066339, 442057495, 1482472524
1735066340, 442368875, 1741435391
1735066341, 442749160, 2076592311
1735066342, 786476933, 2476077230
1735066343, 883425623, 3218338374
1735066344, 883855788, 3584736606
1735066345, 884330482, 3956347157
1735066346, 884806481, 4361799507
1735066347, 885172557, 4692328610
1735066348, 1061148085, 5176598427
1735066349, 1061495480, 5419239280
1735066350, 1061979375, 5751902544
1735066351, 1062416460, 6082423756
1735066352, 1062806569, 6370138844
1735066353, 1062972180, 6464875080
1735066354, 1063020332, 6481398452
1735066355, 1063020332, 6481398452
1735066356, 1063052826, 6481431078
1735066357, 1063072878, 6481451364
1735066358, 1063087206, 6481465450
1735066359, 1063097478, 6481485132
