Timestamp, RX_Bytes, TX_Bytes
1735123864, 0, 0
1735123865, 48108, 47033
1735123866, 106826, 155399
1735123867, 87841239, 22198273
1735123868, 210141240, 308177020
1735123869, 332058359, 572352906
1735123870, 530191547, 791957676
1735123871, 794199980, 1341192113
1735123872, 794337475, 1429286935
1735123873, 1058025205, 1853286283
1735123874, 1409880531, 2289827194
1735123875, 1637399202, 2704410118
1735123876, 1762020613, 3011772452
1735123877, 1937598308, 3291092099
1735123878, 2113980342, 3498223198
1735123879, 2226308775, 3895557344
1735123880, 2584915357, 4419997977
1735123881, 2908163300, 4913694001
1735123882, 3261382459, 5340217298
1735123883, 3349407562, 5692088809
1735123884, 3525612877, 6053795689
1735123885, 3790035006, 6464655051
1735123886, 4142628489, 6882498019
1735123887, 4716833334, 7625273463
1735123888, 5289570361, 8499752421
1735123889, 5615740921, 9096077998
1735123890, 5640714258, 9315493520
1735123891, 6078450290, 9700188192
1735123892, 6422911064, 10334714695
1735123893, 6701399629, 10760549989
1735123894, 6877255002, 11051032286
1735123895, 6877350468, 11204545102
1735123896, 6877415304, 11204656190
1735123897, 6877431064, 11204670494
1735123898, 6877486090, 11204784278
1735123899, 6877534260, 11204834562
